ksas_code,jenis_ksas,tahap,nama,luas_h,akt_1,akt_syarat,akt_0,negeri,daerah,bp,bpk,tahun_data,lat,lon,radius_m,area_derived,radius_basis,sumber,representation,keyakinan,label_peta,key
KSAS 2,"Kawasan Bukit, Tanah Tinggi dan Kawasan Cerun",Tahap 1,Cameron Highlands (Tanah Rata),71200.0,Pertanian tanah tinggi,Mematuhi syarat pihak berkuasa + RT; pertanian sedia ada tertakluk SMA,Perbandaran,Pahang,Cameron Highlands,NA,NA,2025,4.4735,101.3789,15000,True,circle-equivalent of district-scale highland zone (~712 km2),"PPP KSAS Jadual 4 (KSAS 2 Tahap 1: >=1,000 m); RTD Cameron Highlands 2030",district-scale circular proxy — NOT the gazetted KSAS polygon,disahkan,Cameron KSAS,ksas02_cameron_highlands
KSAS 2,"Kawasan Bukit, Tanah Tinggi dan Kawasan Cerun",Tahap 1,Fraser's Hill (Bukit Fraser),,Pertanian tanah tinggi,Mematuhi syarat pihak berkuasa + RT; pertanian sedia ada tertakluk SMA,Perbandaran,Pahang,Raub,NA,NA,2025,3.7117,101.7367,8000,False,town-node buffer (luas tidak diterbitkan di sini),PPP KSAS Jadual 4 (KSAS 2 Tahap 1); koordinat bandar Bukit Fraser,town-node circular proxy — NOT the gazetted KSAS polygon,wakil,Fraser KSAS,ksas02_fraser_s
KSAS 1,Hutan Simpanan Kekal (HSK),Tahap 2,Matang Mangrove Forest Reserve,40288.0,Pengusahasilan hutan,Kebenaran PBN; Pengurusan Hutan Secara Berkekalan; ladang hutan hanya di zon Jabatan Perhutanan,Perbandaran,Perak,Larut & Matang,NA,NA,2025,4.8342,100.6167,11500,True,"circle-equivalent of 40,288 ha reserve","PLOS ONE (MMFR 40,288 ha); NASA (~40,000 ha); gazetted 1906; Akta Perhutanan Negara 1984",reserve-scale circular proxy of crescent reserve — NOT the reserve boundary,disahkan,Matang KSAS,ksas01_matang_mangrove
KSAS 1,Hutan Simpanan Kekal (HSK),Tahap 1,Endau-Rompin (Johor),48905.0,Ekopelancongan dan rekreasi,Berintensiti rendah; kawalan carrying capacity,Perbandaran,Johor,Mersing,NA,NA,2025,2.45,103.35,12500,True,"circle-equivalent of 48,905 ha Johor portion","Johor National Parks Corporation (48,905 ha Johor portion); Hutan Perlindungan rationale",park-scale circular proxy — NOT the gazetted HSK boundary,disahkan,Endau KSAS,ksas01_endau_rompin
KSAS 3,Kawasan Simpanan Mineral,Tahap 3,Kinta Limestone Aggregate Belt,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Perlombongan,Perlombongan perlu kebenaran PBN dan mematuhi syarat yang ditetapkan,-,Perak,Kinta,NA,NA,2025,4.55,101.05,8000,False,simpanan-semasa node buffer (luas tidak diterbitkan di sini),PPP KSAS Jadual 4 (KSAS 3 Tahap 3); JMG mineral belt (wakil node),resource-belt node proxy — NOT a gazetted simpanan boundary,wakil,Kinta KSAS,ksas03_kinta_limestone
KSAS 4,Kawasan Risiko Bencana,Tahap 1,Kelantan Floodplain (Sg Kelantan basin),,Infrastruktur dan utiliti berkepentingan negara,Patuhi pihak berkuasa + RT; laporan geologi dan mitigasi risiko bencana,Semua pembangunan selain infrastruktur dan utiliti berkepentingan negara,Kelantan,Kota Bharu,NA,NA,2025,6.13,102.24,8000,False,bencana-node buffer (sem padan daripada kajian teknikal/PBT berkenaan),PPP KSAS Jadual 4 (KSAS 4 Tahap 1: risiko tinggi); JPS flood records (wakil node),hazard-node proxy — sempadan sebenar daripada kajian teknikal berkenaan,wakil,Kelantan KSAS,ksas04_kelantan_floodplain
KSAS 5,Warisan Kebudayaan Ketara dan Warisan Semula Jadi,Tahap 2,George Town UNESCO Core,259.0,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity; laporan berkaitan warisan,Perbandaran; Pertanian; Perlombongan,Pulau Pinang,Timur Laut,NA,NA,2025,5.4141,100.3288,1000,True,circle-equivalent of 259 ha core+buffer,UNESCO WHS 2008 (259.42 ha core+buffer); Akta Warisan Kebangsaan 2005,heritage-core circular proxy — NOT the gazetted WHS boundary,disahkan,George Town KSAS,ksas05_george_town
KSAS 5,Warisan Kebudayaan Ketara dan Warisan Semula Jadi,Tahap 2,Gua Tempurung,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity; laporan berkaitan warisan,Perbandaran; Pertanian; Perlombongan,Perak,Kampar,NA,NA,2025,4.42,101.19,8000,False,tapak-node buffer (luas tidak diterbitkan di sini),PPP KSAS Jadual 4 (KSAS 5 Tahap 2: warisan semula jadi geologi); contoh nama Jadual 7,site-node circular proxy — NOT a gazetted boundary,wakil,Tempurung KSAS,ksas05_gua_tempurung
KSAS 5,Warisan Kebudayaan Ketara dan Warisan Semula Jadi,Tahap 2,Kinabalu Park WHS,75370.0,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity; laporan berkaitan warisan,Perbandaran; Pertanian; Perlombongan,Sabah,Ranau,NA,NA,2025,6.075,116.5583,15500,True,"circle-equivalent of 75,370 ha World Heritage property","UNESCO WHC 1012 (75,370 ha); Sabah Parks (gazetted 1964; Enakmen 1984)",park-scale circular proxy centred on summit — NOT the KUGGp territory,disahkan,Kinabalu KSAS,ksas05_kinabalu_park
KSAS 6,Kawasan Perlindungan Hidupan Liar,Tahap 1,Taman Negara (Kuala Tahan),434351.0,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity,Perbandaran; Pengusahasilan hutan; Pertanian; Perlombongan,Pahang,Jerantut,NA,NA,2025,4.3833,102.4,16000,False,gateway catchment node buffer; whole-park circle-equiv (~37.2 km) deliberately NOT used,"UNESCO tentative list 5927 (434,351 ha; Pahang 57%); Enakmen 1938/39; PERHILITAN",gateway-node circular proxy — does NOT depict the tri-state park boundary,disahkan,Taman Negara KSAS,ksas06_taman_negara
