dataset,publisher,geography,time_coverage,project_use,status,url,important_caveat
Domestic Tourism Survey 2024,DOSM,State,2017-2024,Visitor trends and 2024 overnight tourists,Downloaded,https://storage.dosm.gov.my/tourism/tourism_domestic_2024.pdf,Annual state series is too short for a strong production forecast and includes pandemic disruption
Population Table States,DOSM,State,1970-2026,Visitors per resident denominator,Downloaded,https://storage.dosm.gov.my/population/population_state.csv,Population values are recorded in thousands
Household Income and Expenditure States,DOSM,State,2022 and 2024,Community opportunity proxy,Downloaded,https://storage.dosm.gov.my/hies/hies_state.csv,Lower income or higher poverty does not prove tourism spending will reach residents
Annual Real GDP by State and Sector,DOSM,State,2015 onward,Economic context,Downloaded,https://storage.dosm.gov.my/gdp/gdp_state_real_supply.csv,Use the official sector lookup before selecting service-sector codes
Malaysia Hotel Supply Statistics 2023,MOTAC and Tourism Malaysia,State and locality,2023,Accommodation supply proxy,Downloaded,https://data.tourism.gov.my/frontend/pdf/Malaysia-Hotel-2023-Supply-Statistics.pdf,Rooms indicate supply but are not a measured carrying-capacity limit
GTFS Static Malaysia,Government of Malaysia and transport operators,Stops and routes,Current,Public transport accessibility,Ready to integrate,https://developer.data.gov.my/realtime-api/gtfs-static,Coverage differs by operator and city
Malaysia Points of Interest,OpenStreetMap contributors via HDX,Point,Continuously updated,Attraction categories and coordinates,Ready to evaluate,https://data.humdata.org/en/dataset/hotosm_mys_points_of_interest,Collaborative coverage varies by location and must be quality checked
Putrajaya Tourism POI 2018-2022,PLANMalaysia and Perbadanan Putrajaya,Attraction,2018-2022,Optional attraction-level monthly forecasting demonstration,Verified API,https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/POI_ppj_2018_to_2022/FeatureServer/0,Useful only for Putrajaya and should not be presented as nationwide
Average Hotel Occupancy Rate,Tourism Malaysia,Malaysia and published breakdowns,2015-2022,Potential monthly or annual demand signal,Needs download verification,https://archive.data.gov.my/data/dataset/malaysia-average-occupancy-rate-of-hotels,Archived dataset may be stale or temporarily unavailable
Mean Temperature Rainfall and Humidity,DOSM and meteorological source,Station and state,2000-2021,Seasonality and weather suitability,Optional,https://archive.data.gov.my/data/dataset/mean-temperature-rainfall-and-mean-relative-humidity-malaysia,Historical coverage ends in 2021
PPP KSAS Guideline (Nov 2025),PLANMalaysia and KPKT,Peninsular and Federal Territories,2025 onward,Statutory KSAS classification (15 jenis and Tahap 1-3) and data schema,Transcribed to ksas_reference.csv,https://www.planmalaysia.gov.my,ISBN 978-629-7679-11-2; approved MPFN ke-48 on 16 July 2025
KSAS Reference Sites,Transcribed from PPP KSAS and gazette records,Site (22 representative nodes),2025,KSAS jenis and tahap per site with permitted activities and map buffers,Processed,local: data/processed/ksas_reference.csv,Node disks are visualization proxies not cadastral polygons; wakil rows are representative nodes
KPKT JKT Senarai PBT and FAQ,Jabatan Kerajaan Tempatan (KPKT),National (151-152 PBT),2025,PBT counts by category and city-status gazette dates for pbt_name grounding,Referenced,https://jkt.kpkt.gov.my/data-pbt-senarai_pbt/,Category split 19-20 DB/MB + 40 MP + 92 MD; latest MD Telupid Sabah
KPKT OSC Senarai PBT by State,KPKT (One Stop Centre),All states and Sabah/Sarawak,Current,Per-state PBT rolls mapping districts to DB/MB/MP/MD/Lembaga/Perbadanan for all 110 districts,Transcribed to src/etl/pbt_mapping.py,http://portalosc.kpkt.gov.my/osc/PBT2_index.cfm,Penampang is MD and Sandakan/Tawau are MP per OSC; Kudat is Lembaga Bandaran; Bintulu is Lembaga Kemajuan (BDA)
KPKT PBTPay PBT List,KPKT,National,Current,Cross-check of PBT full names by state for pbt_name grounding,Referenced,https://pbtpay.kpkt.gov.my/pbt,Confirms MBPP/MBSP MB pair for Penang and MP upgrades in Johor/N9/Pahang
PBT Own Portals (DBKL/MBPP/PPj/PL/MPKangar/MBKT/Pahang/Kedah/Perak),DBKL and respective PBTs,FT and states,Current,Official names acronyms and coverage (DBKL sole KL authority; MBPP island-wide; PPj Act 536; MPKangar statewide; MBKT Kuala Nerus branch; MPLBP exact acronym),Referenced,https://www.dbkl.gov.my; https://www.mbpp.gov.my; https://www.ppj.gov.my; https://www.pl.gov.my,Acronyms taken from PBT domains and portals e.g. MPLBP not MBLBP; Sibu municipal acronym is SMC; Pekan is MPPBDR
