destination,state,district,category,relative_search_index,peak_month,dominant_query,method
Melaka Tengah,Melaka,Melaka Tengah,Hotspot,100.0,December,"antique shops, ayer keroh, biodiversity",proxy: demand-normalized index; peak month from national demand calendar
W.P. Kuala Lumpur,W.P. Kuala Lumpur,W.P. Kuala Lumpur,Hotspot,94.7,December,"aquaria klcc, art deco heritage, bargain shopping",proxy: demand-normalized index; peak month from national demand calendar
Timur Laut,Pulau Pinang,Timur Laut,Hotspot,83.5,December,"beachfront dining, bookxcess, cinema",proxy: demand-normalized index; peak month from national demand calendar
W.P. Labuan,W.P. Labuan,W.P. Labuan,Alternative,76.6,September,"anzac day, bbq picnics, brunai malay culture",proxy: demand-normalized index; peak month from national demand calendar
W.P. Putrajaya,W.P. Putrajaya,W.P. Putrajaya,Alternative,73.1,September,"architectural bridges, bmx trail, botanical collections",proxy: demand-normalized index; peak month from national demand calendar
Petaling,Selangor,Petaling,Hotspot,53.8,December,"al fresco dining, boutiques, central icity mall",proxy: demand-normalized index; peak month from national demand calendar
Johor Bahru,Johor,Johor Bahru,Hotspot,53.6,December,"attraction, cinemas, community mall",proxy: demand-normalized index; peak month from national demand calendar
Cameron Highlands,Pahang,Cameron Highlands,Hotspot,45.8,December,"agritourism, cool climate, fresh produce",proxy: demand-normalized index; peak month from national demand calendar
Bentong,Pahang,Bentong,Alternative,45.7,September,"cable car, cable car station, casino resort",proxy: demand-normalized index; peak month from national demand calendar
Kuantan,Pahang,Kuantan,Alternative,44.9,September,"cinema, community retail, dining",proxy: demand-normalized index; peak month from national demand calendar
Kuching,Sarawak,Kuching,Alternative,41.4,September,"colonial square, darul hana bridge, department stores",proxy: demand-normalized index; peak month from national demand calendar
Langkawi,Kedah,Langkawi,Hotspot,38.1,December,"beaches, beachfront dining, burnt rice",proxy: demand-normalized index; peak month from national demand calendar
Kota Kinabalu,Sabah,Kota Kinabalu,Hotspot,37.2,December,"autocity, cinema, coastal park",proxy: demand-normalized index; peak month from national demand calendar
Muar,Johor,Muar,Alternative,33.6,September,"heritage food, mee bandung, otak otak",proxy: demand-normalized index; peak month from national demand calendar
Kinta,Perak,Kinta,Alternative,29.9,September,"bowling, british colonial, cascades",proxy: demand-normalized index; peak month from national demand calendar
Gombak,Selangor,Gombak,Alternative,29.3,September,"272 rainbow steps, giant panda conservation, limestone caves",proxy: demand-normalized index; peak month from national demand calendar
Miri,Sarawak,Miri,Alternative,26.6,September,"grand old lady, gunung mulu national park, luak esplanade",proxy: demand-normalized index; peak month from national demand calendar
Port Dickson,Negeri Sembilan,Port Dickson,Hotspot,26.0,December,"ancient history, archaeology, army museum",proxy: demand-normalized index; peak month from national demand calendar
Seberang Perai Tengah,Pulau Pinang,Seberang Perai Tengah,Alternative,25.0,September,"cinema, convention center, expanded mall",proxy: demand-normalized index; peak month from national demand calendar
Kuala Terengganu,Terengganu,Kuala Terengganu,Hotspot,23.4,December,"batik terengganu, brassware, chinatown adjacent",proxy: demand-normalized index; peak month from national demand calendar
Alor Gajah,Melaka,Alor Gajah,Alternative,23.1,September,"branded retail, chalets resort, dutch windmill",proxy: demand-normalized index; peak month from national demand calendar
Bintulu,Sarawak,Bintulu,Alternative,22.5,September,"bbq picnic, belacan bintulu, casuarina coast",proxy: demand-normalized index; peak month from national demand calendar
Batu Pahat,Johor,Batu Pahat,Alternative,22.5,September,"cinema, dining, district hub",proxy: demand-normalized index; peak month from national demand calendar
Sandakan,Sabah,Sandakan,Alternative,22.2,September,"agnes keith house, bornea sun bears, labuk bay proboscis",proxy: demand-normalized index; peak month from national demand calendar
